ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,simple,SKY-SIG-HOODIE-001,Signature Rose Hoodie,1,1,visible,"Premium hoodie from the SIGNATURE collection","<p>Experience luxury comfort with the Signature Rose Hoodie. Featuring:</p><ul><li>Premium cotton blend (80% cotton, 20% polyester)</li><li>Embroidered rose logo on chest</li><li>Soft fleece lining</li><li>Adjustable drawstring hood</li><li>Kangaroo pocket</li><li>Ribbed cuffs and hem</li></ul><p>Part of the SIGNATURE Collection - Classic luxury rose garden aesthetic.</p>",,,taxable,,1,50,10,0,0,1.2,,,,,89.99,89.99,"Collections > SIGNATURE Collection","signature, hoodie, rose, luxury",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Rose Pink, Ivory, Charcoal",1,1,,,,,
,simple,SKY-SIG-TEE-001,Signature Rose Tee,1,0,visible,"Classic tee from the SIGNATURE collection","<p>Timeless elegance in every thread. The Signature Rose Tee features:</p><ul><li>100% premium cotton</li><li>Slim-fit design</li><li>Rose emblem screen print</li><li>Reinforced shoulder seams</li><li>Pre-shrunk fabric</li></ul><p>Perfect for everyday luxury.</p>",,,taxable,,1,100,10,0,0,0.4,,,,,49.99,49.99,"Collections > SIGNATURE Collection","signature, tee, rose, cotton",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Rose Pink, White, Black",1,1,,,,,
,simple,SKY-SIG-JOGGERS-001,Signature Rose Joggers,1,0,visible,"Premium joggers from the SIGNATURE collection","<p>Comfort meets style. The Signature Rose Joggers offer:</p><ul><li>Soft French terry fabric</li><li>Tapered fit with elastic cuffs</li><li>Side pockets and back pocket</li><li>Adjustable drawstring waistband</li><li>Embroidered rose logo on thigh</li></ul><p>Your new favorite loungewear.</p>",,,taxable,,1,75,10,0,0,0.8,,,,,69.99,69.99,"Collections > SIGNATURE Collection","signature, joggers, rose, loungewear",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Rose Pink, Charcoal, Ivory",1,1,,,,,
,simple,SKY-LH-WINDBREAKER-001,Love Hurts Windbreaker,1,1,visible,"Enchanted windbreaker from the LOVE HURTS collection","<p>Inspired by Beauty and the Beast. The Love Hurts Windbreaker features:</p><ul><li>Water-resistant nylon outer shell</li><li>Mesh lining for breathability</li><li>Gothic rose pattern print</li><li>Full zip closure with storm flap</li><li>Adjustable hood and hem</li><li>Zippered side pockets</li></ul><p>Part of the LOVE HURTS Collection - Enchanted castle aesthetic.</p>",,,taxable,,1,60,10,0,0,0.9,,,,,119.99,119.99,"Collections > LOVE HURTS Collection","love-hurts, windbreaker, gothic, enchanted",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Purple, Crimson, Black",1,1,,,,,
,simple,SKY-LH-HOODIE-001,Love Hurts Hoodie,1,1,visible,"Gothic luxury hoodie from the LOVE HURTS collection","<p>Embrace the enchantment. The Love Hurts Hoodie offers:</p><ul><li>Premium heavyweight fleece</li><li>Oversized fit</li><li>Embroidered enchanted rose on back</li><li>Kangaroo pocket with hidden zipper</li><li>Double-lined hood</li><li>Reinforced seams</li></ul><p>The hero piece of the LOVE HURTS collection.</p>",,,taxable,,1,80,10,0,0,1.4,,,,,99.99,99.99,"Collections > LOVE HURTS Collection","love-hurts, hoodie, gothic, rose",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Purple, Crimson, Black",1,1,,,,,
,simple,SKY-LH-JOGGERS-001,Love Hurts Joggers,1,0,visible,"Gothic joggers from the LOVE HURTS collection","<p>Complete the look. Love Hurts Joggers feature:</p><ul><li>Soft cotton-poly blend</li><li>Relaxed fit with tapered leg</li><li>Elastic waistband with drawstring</li><li>Side seam pockets</li><li>Rose embroidery on leg</li></ul><p>Comfort meets dark elegance.</p>",,,taxable,,1,70,10,0,0,0.7,,,,,74.99,74.99,"Collections > LOVE HURTS Collection","love-hurts, joggers, gothic",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Purple, Black, Crimson",1,1,,,,,
,simple,SKY-LH-FANNY-001,Love Hurts Fanny Pack,1,0,visible,"Compact fanny pack from the LOVE HURTS collection","<p>Hands-free luxury. The Love Hurts Fanny Pack includes:</p><ul><li>Water-resistant material</li><li>Multiple compartments</li><li>Adjustable waist strap</li><li>Gothic rose print</li><li>Zippered closure</li></ul><p>Perfect for festivals and travel.</p>",,,taxable,,1,50,10,0,0,0.3,,,,,39.99,39.99,"Collections > LOVE HURTS Collection","love-hurts, fanny-pack, accessory",,,,,,,,,,0,Size,"One Size",1,1,Color,"Purple, Black",1,1,,,,,
,simple,SKY-BR-SHERPA-001,Black Rose Sherpa Jacket,1,1,visible,"Luxury sherpa jacket from the BLACK ROSE collection","<p>Dark luxury at its finest. The Black Rose Sherpa features:</p><ul><li>Plush sherpa fleece exterior</li><li>Satin-lined interior</li><li>Silver zipper hardware</li><li>High collar design</li><li>Side pockets</li><li>Black rose embroidery</li></ul><p>Part of the BLACK ROSE Collection - Gothic dark luxury aesthetic.</p>",,,taxable,,1,40,10,0,0,1.6,,,,,139.99,139.99,"Collections > BLACK ROSE Collection","black-rose, sherpa, jacket, gothic",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Black, Charcoal, Silver",1,1,,,,,
,simple,SKY-BR-DRESS-001,Black Rose Hooded Dress,1,1,visible,"Gothic hooded dress from the BLACK ROSE collection","<p>Statement piece. The Black Rose Hooded Dress offers:</p><ul><li>Midi length with side slits</li><li>Oversized hood</li><li>Soft jersey fabric</li><li>Relaxed fit</li><li>Silver rose print</li><li>Hidden pockets</li></ul><p>Elegance meets edge.</p>",,,taxable,,1,35,10,0,0,0.9,,,,,109.99,109.99,"Collections > BLACK ROSE Collection","black-rose, dress, hooded, gothic",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Black, Charcoal",1,1,,,,,
,simple,SKY-BR-JOGGERS-001,Black Rose Joggers,1,0,visible,"Dark luxury joggers from the BLACK ROSE collection","<p>Complete your gothic wardrobe. Black Rose Joggers feature:</p><ul><li>Premium cotton blend</li><li>Tapered fit</li><li>Elastic waistband with drawstring</li><li>Side and back pockets</li><li>Silver rose embroidery</li><li>Ribbed ankle cuffs</li></ul><p>Comfort in darkness.</p>",,,taxable,,1,60,10,0,0,0.8,,,,,79.99,79.99,"Collections > BLACK ROSE Collection","black-rose, joggers, gothic",,,,,,,,,,0,Size,"XS, S, M, L, XL, XXL",1,1,Color,"Black, Charcoal, Navy",1,1,,,,,
