type,sku,collection,collection_slug,name,price,is_preorder,edition_size,render_output_slug,render_source_override,render_back_source_override,render_is_tech_flat,render_is_accessory,render_variant_of,description,sizes,color
simple,br-001,Black Rose,black-rose,BLACK Rose Crewneck,35,0,250,black-rose-crewneck,black-rose-crewneck-techflat-v4.jpg,,1,,,Gothic luxury blooms in twilight. Embroidered with defiant elegance, a dark romance woven in every thread.,S|M|L|XL|2XL|3XL,Black
simple,br-002,Black Rose,black-rose,BLACK Rose Joggers,50,1,250,black-rose-joggers,black-rose-joggers-source.jpg,,,,,"Twilight comfort meets gothic romance. Embroidered black roses bloom on soft fabric.",S|M|L|XL|2XL|3XL,Black
simple,br-003,Black Rose,black-rose,BLACK is Beautiful Jersey,45,0,250,black-is-beautiful-jersey,black-is-beautiful-jersey-techflat-black-front.jpeg,black-is-beautiful-jersey-techflat-black-back.jpeg,,,,A bold statement in luxury athletic wear. Black is beautiful and this jersey proves it.,S|M|L|XL|2XL|3XL,Black
simple,br-003-oakland,Black Rose,black-rose,BLACK is Beautiful Jersey (Oakland),45,0,250,black-is-beautiful-jersey-oakland,black-is-beautiful-jersey-techflat-oakland-front.jpeg,black-is-beautiful-jersey-techflat-oakland-back.jpeg,,,br-003,A bold statement in luxury athletic wear. Black is beautiful and this jersey proves it.,S|M|L|XL|2XL|3XL,Black
simple,br-003-giants,Black Rose,black-rose,BLACK is Beautiful Jersey (Giants),45,0,250,black-is-beautiful-jersey-giants,black-is-beautiful-jersey-techflat-giants-front.jpeg,black-is-beautiful-jersey-techflat-giants-back.jpeg,,,br-003,A bold statement in luxury athletic wear. Black is beautiful and this jersey proves it.,S|M|L|XL|2XL|3XL,Black/Orange
simple,br-003-white,Black Rose,black-rose,BLACK is Beautiful Jersey (White),45,0,250,black-is-beautiful-jersey-white,black-is-beautiful-jersey-techflat-white-front.jpeg,black-is-beautiful-jersey-techflat-white-back.jpeg,,,br-003,A bold statement in luxury athletic wear. Black is beautiful and this jersey proves it.,S|M|L|XL|2XL|3XL,White
simple,br-004,Black Rose,black-rose,BLACK Rose Hoodie,40,1,250,black-rose-hoodie,black-rose-hoodie-product.jpg,,,,,Gothic luxury in twilight shadows. Intricate embroidery captures the bloom of darkness.,S|M|L|XL|2XL|3XL,Black
simple,br-005,Black Rose,black-rose,BLACK Rose Hoodie — Signature Edition,65,1,250,black-rose-hoodie-signature-edition,black-rose-hoodie-signature-edition-hoodie-ltd-source.jpg,,,,,The definitive Black Rose hoodie. Signature edition with premium detailing and numbered tag.,S|M|L|XL|2XL|3XL,Black
simple,br-006,Black Rose,black-rose,BLACK Rose Sherpa Jacket,95,1,250,black-rose-sherpa-jacket,black-rose-sherpa-jacket-sherpa-product.jpg,,,,,"Lustrous black satin with plush Sherpa lining, crowned by an exquisite embroidered rose.",S|M|L|XL|2XL|3XL,Black
simple,br-007,Black Rose,black-rose,BLACK Rose x Love Hurts Basketball Shorts,65,1,250,black-rose-love-hurts-basketball-shorts,black-rose-love-hurts-basketball-shorts-techflat-front.jpeg,black-rose-love-hurts-basketball-shorts-techflat-back.jpeg,1,,,Two worlds collide. A cross-collection collaboration merging Black Rose darkness with Love Hurts fire.,S|M|L|XL|2XL|3XL,Black
simple,br-008,Black Rose,black-rose,BLACK is Beautiful Jersey Series: 1. SF inspired,115,1,80,black-is-beautiful-football-jersey-red,black-is-beautiful-football-jersey-red-techflat-front.jpeg,black-is-beautiful-football-jersey-red-techflat-back.jpeg,1,,,Red #80 football jersey. SF 49ers inspired — alternating rose fill on numbers. Exclusive 80-piece edition.,S|M|L|XL|2XL|3XL,Red
